,user,text,favorite_count,retweet_count,created_at
0,elonmusk,@ajtourville 🤣,440,23,2022-09-30 05:41:09+00:00
1,elonmusk,@NASAHubble @NASA @SpaceX Yay,7150,299,2022-09-30 01:15:33+00:00
2,elonmusk,@MuskUniversity True,8936,345,2022-09-29 20:22:46+00:00
3,elonmusk,"Needs be able to get from Starbase to South Padre Island, which requires crossing the channel",44105,1832,2022-09-29 15:35:09+00:00
4,elonmusk,@WholeMarsBlog Off-label use 🤣,36066,751,2022-09-29 15:32:42+00:00
5,elonmusk,"Cybertruck will be waterproof enough to serve briefly as a boat, so it can cross rivers, lakes &amp; even seas that aren’t too choppy",165869,12328,2022-09-29 15:31:12+00:00
6,elonmusk,@phibetakitten Submarines use electric motors under water …,12866,537,2022-09-29 15:28:10+00:00
7,elonmusk,Works on land too,15394,691,2022-09-29 15:25:16+00:00
8,elonmusk,As well as advanced chip &amp; supercomputer engineers for next-gen training &amp; inference,17204,1000,2022-09-29 14:59:48+00:00
9,elonmusk,"Note, this event is meant for recruiting AI &amp; robotics engineers, so will be highly technical https://t.co/BcxAEv6qJd",40682,3763,2022-09-29 14:54:11+00:00
10,elonmusk,@stevenmarkryan Pretty much. AI/robotics engineers who understand what problems need to be solved will like what they see.,9328,514,2022-09-29 07:02:13+00:00
11,elonmusk,@WholeMarsBlog @Gfilche There will be lots of technical detail &amp; cool hardware demos,4843,367,2022-09-29 06:52:37+00:00
12,elonmusk,@Gfilche Good analysis,8259,326,2022-09-29 06:51:03+00:00
13,elonmusk,Rated for 280+ kph (174+ mph) winds https://t.co/qJBdykpTT9,12337,845,2022-09-28 23:47:46+00:00
14,elonmusk,Starlink Maritime system enables high speed Internet connectivity even in heavy seas &amp; hurricane winds https://t.co/6R4p73UGOT,41362,4097,2022-09-28 23:43:58+00:00
15,elonmusk,Last coal shipment arrived in Hawaii at same time as Tesla Megapack batteries that will enable 24/7 sustainable energy https://t.co/zlqJHLsAQq,40187,3484,2022-09-28 23:38:46+00:00
16,elonmusk,@BryceSpaceTech @SpaceX Still very tiny potatoes compared to what’s needed to make life multiplanetary,3089,512,2022-09-28 20:53:07+00:00
17,elonmusk,@BryceSpaceTech @SpaceX SpaceX now delivering about twice as much payload to orbit as rest of world combined,15259,1116,2022-09-28 20:51:53+00:00
18,elonmusk,@Reuters Extremely concerning,33955,1784,2022-09-28 19:49:15+00:00
19,elonmusk,"@Teslarati @KlenderJoey How ironic, that’s what Henrik Fisker did to Tesla in 2007! Karma is a …",5137,314,2022-09-28 19:47:18+00:00
20,elonmusk,@alex_avoigt They need to add a lot of batteries to the grid to buffer energy,18298,918,2022-09-28 14:33:47+00:00
21,elonmusk,https://t.co/mEBAgBCCkj,159540,14170,2022-09-28 07:16:12+00:00
22,elonmusk,I guess this joke is a slow burn … 🥁,25938,1202,2022-09-28 03:05:06+00:00
23,elonmusk,@WholeMarsBlog Big improvement in high speed cross-traffic velocity NN coming next month,11993,532,2022-09-28 03:02:36+00:00
24,elonmusk,@chrispavlovski @dbongino @rustyrockets Maybe worth talking at some point,9177,674,2022-09-28 02:59:44+00:00
25,elonmusk,Make “hair on fire” not just a metaphor,53431,3938,2022-09-27 23:20:31+00:00
26,elonmusk,https://t.co/1hbMzueALi,45980,3510,2022-09-27 23:04:38+00:00
27,elonmusk,Stand out in a crowd! Get noticed as you walk through the airport!,16565,816,2022-09-27 23:03:16+00:00
28,elonmusk,"Coming soon from @BoringCompany, the same people that sold you a Flamethrower",17376,780,2022-09-27 23:01:19+00:00
29,elonmusk,“Burnt Hair” – Scent for Men by Singed,43389,2395,2022-09-27 22:57:09+00:00
30,elonmusk,@dbongino @rustyrockets I’m a little preoccupied rn,10397,388,2022-09-27 22:25:44+00:00
31,elonmusk,@ID_AA_Carmack Batteries ftw,5038,242,2022-09-27 22:25:13+00:00
32,elonmusk,@rustyrockets Good point,35440,1454,2022-09-27 22:14:36+00:00
33,elonmusk,"My son, Saxon, was amazed that so many paper newspapers are still produced every day. 

He said they probably just search the Internet &amp; print it out. Yup, with rare exception, that is *actually* what they do haha.",112549,7448,2022-09-27 16:50:00+00:00
34,elonmusk,https://t.co/RcKPRe8eiM,601227,47580,2022-09-27 16:13:16+00:00
35,elonmusk,"Falcon 9 fairing cam captures 2nd stage plume, booster entry burn &amp; Earth in twilight https://t.co/ga9MpZKvK2",88075,7180,2022-09-27 14:51:58+00:00
36,elonmusk,"@lacker @ilyasut Even then, Lenin would’ve gotten nowhere without Ludendorff’s train",1788,113,2022-09-27 05:04:18+00:00
37,elonmusk,@Tesmanian_com Charming …,38713,1293,2022-09-26 00:25:50+00:00
38,elonmusk,https://t.co/qeiDmU3sOg,57500,2477,2022-09-25 19:59:30+00:00
39,elonmusk,https://t.co/2wpp3F31jA,239261,22753,2022-09-25 19:34:40+00:00
40,elonmusk,Starlink now over 1M user terminals manufactured,155802,12207,2022-09-25 19:04:39+00:00
